n;prov;hepb0_n;hepb0_p;hepb0_tot;penta_n;penta_p;penta_tot;nam;
17;Attapeu;40,46;62,79;64,43;24,97;58,22;42,9;P.ATTAPU;
5;Bokeo;45,39;41,31;109,87;31,64;44,82;70,58;P.BOKEO;
11;Borikhamxay;102,32;62,26;164,36;69,89;67,96;102,84;P.BOLIKHAMXAI;
16;Champasack;269,35;74,82;360,01;144,66;70,68;204,67;P.CHAMPASAK;
7;Huaphanh;41,68;23,08;180,57;77,3;61,94;124,81;P.HOUAPHAN;
12;Khammuane;127,94;56,98;224,51;94,52;73,46;128,66;P.KHAMMOUANN;
3;Luangnamtha;71,26;70,63;100,88;43,88;70,73;62,04;P.LOUANGNAMTHA;
6;Luangprabang;146,36;63,09;231,98;91,36;66,59;137,19;P.LOUANGPHABANG;
4;Oudomxay;137,84;51,46;267,87;108,16;62,61;172,77;P.OUDOMXAI;
2;Phongsaly;43,5;47,22;92,13;20,86;33,57;62,14;P.PHONGSALI;
14;Saravane;211,28;54,02;391,13;172,84;72,78;237,47;P.SALAVAN;
13;Savannakhet;300,86;65,05;462,5;140,51;56,7;247,81;P.SAVANNAKHET;
15;Sekong;36,68;37,37;98,16;27,74;42,79;64,82;P.XEKONG;
10;Vientiane;183,57;67,17;273,31;116,5;78,24;148,9;P.VIENTIANE;
1;Vientiane Capital;321,01;82,66;388,32;133,09;77,31;172,16;VIENTINE CAPITAL;
8;Xayabury;143,16;70,53;202,98;97,02;92,66;104,7;P.XAIGNABOULI;
9;Xiengkhuang;91,66;52,17;175,69;42,38;38,91;108,9;P.XIANGKHOUANG;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;      
;;;;;;;;;     
;;;;;;;;;        
