hh7;prov;prov_new;bd_n;bd_p;bd_tot;penta1_n;penta1_p;penta_1_tot;penta2_n;penta2_p;penta2_tot;penta3_n;penta3_p;penta3_tot
1;Vientiane Capital;Vientiane Capital;362,76;82,71;438,58;193,33;77,32;250,03;191,19;76,47;250,03;186,84;74,73;250,03
2;Phonsaly;Phongsaly;85,23;53,91;158,11;58,41;64,52;90,53;55,15;60,92;90,53;54,43;60,13;90,53
3;Luangnamtha;Louangnamtha;100,35;77,19;130;54,95;79,1;69,47;54,85;78,96;69,47;53,78;77,42;69,47
4;Oudomxay;Oudomxai;185,87;56,12;331,24;75,5;40,85;184,81;73,15;39,58;184,81;76,12;41,19;184,81
5;Bokeo;Bokeo;115,32;70,84;162,79;41,84;50,51;82,84;40,39;48,76;82,84;36,42;43,96;82,84
6;Luangprabang;Louangphabang;270,88;72,89;371,65;139,99;66,89;209,3;136,34;65,14;209,3;131,84;62,99;209,3
7;Huaphan;Houaphan;147,98;62,19;237,93;104,77;73,89;141,8;104,77;73,89;141,8;101,27;71,42;141,8
8;Xayaoury;Xaignabouly;208,26;89,18;233,53;113,74;87,58;129,87;109,48;84,3;129,87;108,51;83,56;129,87
9;Xieng Khuang;Xiengkhouang;184,48;71,06;259,6;111,76;77,45;144,29;107,41;74,44;144,29;104,97;72,75;144,29
10;Vientiane  ;Vientiane;219,28;66,67;328,91;170,49;88,24;193,22;167,11;86,49;193,22;159,39;82,49;193,22
11;Bolikhamxay;Bolikhamxai;190,72;84,15;226,65;110,21;92,23;119,49;105,46;88,26;119,49;102,36;85,66;119,49
12;Khammouane;Khammouan;202,35;77,64;260,63;130,99;88,73;147,63;129,84;87,95;147,63;128,57;87,09;147,63
13;Savannakhet;Savannakhet;391,6;66,42;589,62;179,72;56,82;316,29;170,1;53,78;316,29;160,93;50,88;316,29
14;Saravan;Salavan;268,92;71,71;375;163,18;82,74;197,23;148,79;75,44;197,23;147,67;74,87;197,23
15;Sekong;Sekong;72,03;64,38;111,87;45,28;72,73;62,26;44,99;72,26;62,26;45,27;72,71;62,26
16;Champasack;Champasack;240,18;55,62;431,82;165,71;73,65;224,98;163,68;72,75;224,98;164,13;72,95;224,98
17;Attapeu;Attapeu;65,4;63,89;102,35;35,77;66,31;53,94;35,01;64,91;53,94;32,66;60,55;53,94
18;Xaysombounr;Xaisomboon;48,61;49,47;98,27;25,93;41,6;62,32;23,85;38,26;62,32;21,92;35,18;62,32
